"Scenario","PropR","Natural Mortality M","Movement","Selectivity","SteepnessH","GLOBALFMSY","LOCALFMSY","MSY_RATIO","GLOBAL_DEPL_TOTAL","LOCAL_DEPL_TOTAL"
"NoMovment_Rprop=0.5",0.5,0.2,"Fig. 1C","Fig. 1E","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"NoMovement_HigherWAA",0.5,0.2,"Fig. 1C","Fig. 1E","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"NoMovement_Rprop=0.65",0.65,0.2,"Fig. 1C","Fig. 1E","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"NoMovment_Rprop=0.35",0.35,0.2,"Fig. 1C","Fig. 1E","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"basicSymm",0.5,0.2,"Fig. 1D","Fig. 1E","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"SymmMomement_Rprop=0.65",0.65,0.2,"Fig. 1D","Fig. 1E","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"Base-Case",0.5,0.2,"Fig. 1B","Fig. 1E","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"a1 low selex + symmetrical movement",0.5,0.2,"Fig. 1D","Fig. 1F","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"a1 low selex",0.5,0.2,"Fig. 1B","Fig. 1F","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"a1 hi selex",0.5,0.2,"Fig. 1B","Fig. 1G","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"lower m",0.5,0.1,"Fig. 1B","Fig. 1E","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"higher m",0.5,0.4,"Fig. 1B","Fig. 1E","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"lower h",0.5,0.2,"Fig. 1B","Fig. 1E","0.5, 0.5","NA, NA","NA, NA",NA,NA,NA
"higher h",0.5,0.2,"Fig. 1B","Fig. 1E","0.9, 0.9","NA, NA","NA, NA",NA,NA,NA
"lowerh-no movement",0.5,0.2,"Fig. 1C","Fig. 1E","0.5, 0.5","NA, NA","NA, NA",NA,NA,NA
"combo h-base movement",0.5,0.2,"Fig. 1B","Fig. 1E","0.7, 0.5","NA, NA","NA, NA",NA,NA,NA
"rev combo h-base movement",0.5,0.2,"Fig. 1B","Fig. 1E","0.5, 0.7","NA, NA","NA, NA",NA,NA,NA
"low h high m -base movement",0.5,0.1,"Fig. 1B","Fig. 1E","0.5, 0.5","NA, NA","NA, NA",NA,NA,NA
"high h low m -base",0.5,0.4,"Fig. 1B","Fig. 1E","0.9, 0.9","NA, NA","NA, NA",NA,NA,NA
"MovebeforeFish_Rprop=0.5",0.5,0.4,"Fig. 1D","Fig. 1G","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"MovebeforeFish_Rprop=0.65",0.65,0.4,"Fig. 1D","Fig. 1G","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"MovebeforeFish2_Rprop=0.5",0.5,0.4,"Fig. 1D","Fig. 1G","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"MovebeforeFish2_Rprop=0.65",0.65,0.4,"Fig. 1D","Fig. 1G","0.7, 0.7","NA, NA","NA, NA",NA,NA,NA
"FishBeforeMove_Rprop=0.5",0.5,0.4,"Fig. 1D","Fig. 1G","0.7, 0.7","1.32, 0.01","1.23, 0.01",1.03,0.6,0.6
"FishBeforeMove_Rprop=0.65",0.65,0.4,"Fig. 1D","Fig. 1G","0.7, 0.7","1.32, 0.01","1.22, 0.01",1.03,0.58,0.57
